_id,Name,Author,Year,Code2
ObjectId("5cab08f182ac8110ad8a3f2d"),335,Karl Marx et Friedrich Engel. - M. : Progres, 1981,1981,Phòng Mượn: NNM 000464-000467300/F 000241
ObjectId("5cab08f182ac8110ad8a3f2e"),Các câu chuyện toán học,Nguyễn Bá Đô, Nguyễn Hồng Minh . - H. : Giáo dục, 2001,2001,Phòng Mượn: VNM 038637-038641
ObjectId("5cab08f182ac8110ad8a3f2f"),Các loại số trong tiếng Anh,Nguyễn Thành Yến (dịch). - Tp. Hồ chí Minh : Nxb. Tp. Hồ Chí Minh, 2001,2001,
ObjectId("5cab08f182ac8110ad8a3f30"),CIA những cuộc chiến thầm lặng,Bob Woodward ; Nguyễn Văn Đóa (dịch). - H. : Chính trị Quốc gia, 1996,1996,Phòng Mượn: VNM 030324-030325
ObjectId("5cab08f182ac8110ad8a3f31"),Giáo trình Hán ngữ,Lý Hiếu Kỳ, Đái Quốc Phù, Quách Chấn Hoa ; Người dịch : Trần Kiết Hùng,.... - Đồng Nai : Nxb. Đồng Nai, 1997,1997,
ObjectId("5cab08f182ac8110ad8a3f32"),Giáo trình Hán ngữ,Lý Hiểu Kỳ, Đái Quốc Phù, Quách Chấn Hoa ; Người dịch : Trần Kiết Hùng,.... - Đồng Nai : Nxb. Đồng Nai, 1997,1997,
ObjectId("5cab08f182ac8110ad8a3f33"),Giáo trình kinh tế chính trị Mác-Lê nin về phương thức sản xuất tư bản chủ nghĩa. - H. : Chính trị Quốc gia, 2002,,2002,Phòng Mượn: VNM 038516-038519
ObjectId("5cab08f182ac8110ad8a3f34"),Hảy súng khon bản trường ca khát vọng vô tận,Lê Thúy Quỳnh ( giới thiệu ). - H. : Hội Nhà văn, 2017,2017,
ObjectId("5cab08f182ac8110ad8a3f35"),Kế toán tài chính. - H. : Thống kê, 2001,,2001,Phòng Mượn: VVM 005030-005032
ObjectId("5cab08f182ac8110ad8a3f36"),Những ngôi chùa nổi tiếng Việt Nam,Võ Văn Tường, Thích Minh Châu. - H. : Văn hoá Thông tin, 1994,1994,Phòng Mượn: VVM 004056-004057, 004981
ObjectId("5cab08f182ac8110ad8a3f37"),Từ điển lịch sử chế độ chính trị Trung Quốc,Chu Phát Tăng, Trần Long Đào, Tề Cát Tường ; Nguyễn Văn Tường (dịch). - Tp. Hồ Chí Minh : Nxb. Tp. Hồ Chí Minh, 2001,2001,Từ điển: TD 000437-000439
ObjectId("5cab08f182ac8110ad8a3f38"),... And the earth did not devour him,Tomás Rivera. - Evanston : McDougal Littell, 1997,1997,
ObjectId("5cab08f182ac8110ad8a3f39"),... And the Earth did not devour him,Tomás Rivera. - Evanston, U.S.A : McDougal Littell, 1997,1997,
ObjectId("5cab08f182ac8110ad8a3f3a"),(40=bốn mươi) năm nước cộng hòa xã hội chủ nghĩa Việt Nam. - H. : Sự thật, 1985,,1985,Phòng Mượn: VVM 002350
ObjectId("5cab08f182ac8110ad8a3f3b"),10 âm mưu lớn nhất lịch sử phong kiến Trung Quốc,Nguyễn Tôn Nhan. - Tp. Hồ Chí Minh : Văn Nghệ, 1999,1999,Phòng Mượn: VNM 030938, 030940
ObjectId("5cab08f182ac8110ad8a3f3c"),10 cách đánh thức tư duy sáng tạo,Tony Buzan ; Gia Linh (biên dịch). - H. : Từ điển Bách Khoa, 2007,2007,
ObjectId("5cab08f182ac8110ad8a3f3d"),10 chuyên đề bồi dưỡng học sinh giỏi toán 4-5,Trần Diên Hiển. - H. : Giáo dục, 2002,2002,Phòng Giáo trình: VNG 02644:0001->0025
ObjectId("5cab08f182ac8110ad8a3f3e"),10 chuyên đề bồi dưỡng học sinh giỏi toán 4-5,Trần Diên Hiển. - H. : Giáo dục, 2002,2002,Phòng Giáo trình: VNG 02654:0001->0025
ObjectId("5cab08f182ac8110ad8a3f3f"),10 chuyên đề ngữ pháp căn bản Tiếng Anh,Đoàn Viết Bửu, Nguyễn Duy Linh. - Tp. Hồ Chí Minh : Trường Cao đẳng sư phạm Tp. Hồ Chí Minh, 1989,1989,
ObjectId("5cab08f182ac8110ad8a3f40"),10 đại gian thần trong lịch sử Trung Quốc,Nhiễm Vạn Lý (ch.b.) ; Phong Đảo (dịch). - H. : Phụ nữ, 2001,2001,Phòng Giáo trình: VNG 02718:0001->0020 
